Recording timestamp,Event,Event value,Eye movement type
0.0,RecordingStart,,Fixation
5.0,StimulusOnset,P1,Fixation
5.0,,,Fixation
13.0,,,Fixation
21.0,,,Fixation
30.0,,,Fixation
38.0,,,Fixation
46.0,,,Fixation
55.0,,,Fixation
63.0,,,Fixation
71.0,,,Fixation
80.0,,,Fixation
88.0,,,Fixation
96.0,,,Fixation
105.0,,,Fixation
113.0,,,Fixation
121.0,,,Fixation
130.0,,,Fixation
138.0,,,Fixation
146.0,,,Fixation
155.0,,,Saccade
163.0,,,Saccade
171.0,,,Saccade
180.0,,,Saccade
188.0,,,Saccade
196.0,,,Saccade
205.0,,,Saccade
213.0,,,Saccade
221.0,,,Saccade
230.0,,,Saccade
238.0,,,Fixation
246.0,,,Fixation
255.0,,,Fixation
263.0,,,Fixation
271.0,,,Fixation
280.0,,,Fixation
288.0,,,Fixation
296.0,,,Fixation
305.0,,,Fixation
313.0,,,Fixation
321.0,,,Fixation
330.0,,,Fixation
338.0,,,Fixation
346.0,,,Fixation
355.0,,,Fixation
363.0,,,Fixation
371.0,,,Fixation
380.0,,,Fixation
388.0,,,Fixation
396.0,,,Fixation
405.0,,,Fixation
413.0,,,Fixation
421.0,,,Fixation
430.0,,,Fixation
438.0,,,Fixation
446.0,,,Saccade
455.0,,,Saccade
463.0,,,Saccade
471.0,,,Saccade
480.0,,,Saccade
488.0,,,Fixation
496.0,,,Fixation
505.0,,,Fixation
513.0,,,Fixation
521.0,,,Fixation
530.0,,,Fixation
538.0,,,Fixation
546.0,,,Fixation
555.0,,,Fixation
563.0,,,Fixation
571.0,,,Fixation
580.0,,,Fixation
588.0,,,Fixation
596.0,,,Fixation
605.0,,,Fixation
613.0,,,Fixation
621.0,,,Fixation
630.0,,,Fixation
638.0,,,Fixation
646.0,,,Fixation
655.0,,,Fixation
663.0,,,Fixation
671.0,,,Saccade
680.0,,,Saccade
688.0,,,Saccade
696.0,,,Saccade
705.0,,,EyesNotFound
713.0,,,EyesNotFound
721.0,,,EyesNotFound
730.0,,,EyesNotFound
738.0,,,EyesNotFound
746.0,,,EyesNotFound
755.0,,,EyesNotFound
763.0,,,EyesNotFound
771.0,,,EyesNotFound
780.0,,,EyesNotFound
788.0,,,EyesNotFound
796.0,,,EyesNotFound
805.0,,,EyesNotFound
813.0,,,Saccade
821.0,,,Saccade
830.0,,,Saccade
838.0,,,Saccade
846.0,,,Saccade
855.0,,,Saccade
863.0,,,Fixation
871.0,,,Fixation
880.0,,,Fixation
888.0,,,Fixation
896.0,,,Fixation
905.0,,,Fixation
913.0,,,Fixation
921.0,,,Fixation
930.0,,,Saccade
938.0,,,Saccade
946.0,,,Saccade
955.0,,,Saccade
963.0,,,EyesNotFound
971.0,,,EyesNotFound
980.0,,,EyesNotFound
988.0,,,EyesNotFound
996.0,,,EyesNotFound
1005.0,,,EyesNotFound
1013.0,,,EyesNotFound
1021.0,,,EyesNotFound
1030.0,,,EyesNotFound
1038.0,,,EyesNotFound
1046.0,,,EyesNotFound
1055.0,,,EyesNotFound
1063.0,,,EyesNotFound
1071.0,,,Saccade
1080.0,,,Saccade
1088.0,,,Saccade
1096.0,,,Saccade
1105.0,,,Saccade
1113.0,,,Saccade
1121.0,,,Fixation
1130.0,,,Fixation
1138.0,,,Fixation
1146.0,,,Fixation
1155.0,,,Fixation
1163.0,,,Fixation
1171.0,,,Fixation
1180.0,,,Fixation
1188.0,,,Fixation
1196.0,,,Fixation
1205.0,,,Fixation
1213.0,,,Fixation
1221.0,,,Fixation
1230.0,,,Fixation
1238.0,,,Fixation
1246.0,,,Fixation
1255.0,,,Fixation
1263.0,,,Fixation
1271.0,,,Fixation
1280.0,,,Fixation
1288.0,,,Fixation
1296.0,,,Fixation
1305.0,,,Fixation
1313.0,,,Fixation
1321.0,,,Fixation
1330.0,,,Fixation
1338.0,,,Fixation
1346.0,,,Fixation
1355.0,,,Fixation
1363.0,,,Fixation
1371.0,,,Fixation
1380.0,,,Fixation
1388.0,,,Fixation
1396.0,,,Fixation
1405.0,,,Fixation
1413.0,,,Fixation
1421.0,,,Fixation
1430.0,,,Fixation
1438.0,,,Fixation
1446.0,,,Fixation
1455.0,,,Fixation
1463.0,,,Fixation
1471.0,,,Fixation
1480.0,,,Fixation
1488.0,,,Fixation
1496.0,,,Fixation
1505.0,,,Fixation
1513.0,,,Fixation
1521.0,,,Fixation
1530.0,,,Fixation
1538.0,,,Fixation
1546.0,,,Fixation
1555.0,,,Fixation
