Recording timestamp,Event,Event value,Eye movement type
0.0,RecordingStart,,Fixation
0.0,StimulusOnset,P1,Fixation
4.0,validationResult,"CALIBRATION 1 Data Quality (computed from validation 1):||point    acc (°)    accX (°)    accY (°)    STD (°)    RMS (°)    data loss (%)||left eye:||1 @ (384,540)    0.6215    0.4208    0.4283    0.2181    0.2899    48.3||2 @ (960,864)    0.5768    0.3788    0.4015    0.4225    0.3043    0.0||3 @ (1536,540)    1.9099    1.3636    1.2032    0.8607    1.0266    15.0||4 @ (960,216)    0.9763    0.0785    0.9719    0.1403    0.1681    0.0||   average       1.0211    0.5604    0.7512    0.4104    0.4472    15.8||right eye:||1 @ (384,540)    0.2595    0.1768    0.1492    0.2206    0.2771    48.3||2 @ (960,864)    1.9931    0.8538    1.8010    0.0000    NaN    98.3||3 @ (1536,540)    0.8354    0.6070    0.5367    0.2376    0.1998    0.0||4 @ (960,216)    0.6145    0.3842    0.4517    0.2137    0.2013    0.0||   average       0.9256    0.5054    0.7346    0.1680    0.2261    36.7",Fixation
8.0,,,Fixation
17.0,,,Fixation
25.0,,,Fixation
33.0,,,Fixation
42.0,,,Fixation
50.0,,,Fixation
58.0,,,Fixation
67.0,,,Fixation
75.0,,,Fixation
83.0,,,Fixation
92.0,,,Fixation
100.0,,,Fixation
108.0,,,Fixation
117.0,,,Fixation
125.0,,,Fixation
133.0,,,Fixation
142.0,,,Fixation
150.0,,,Fixation
158.0,,,Fixation
167.0,,,Fixation
175.0,,,Saccade
183.0,,,Saccade
192.0,,,Saccade
200.0,,,Saccade
208.0,,,Saccade
217.0,,,Saccade
225.0,,,Unclassified
233.0,,,Unclassified
242.0,,,Saccade
250.0,,,Saccade
258.0,,,Saccade
267.0,,,Saccade
275.0,,,Saccade
283.0,,,Saccade
292.0,,,Saccade
300.0,,,Fixation
308.0,,,Fixation
317.0,,,Fixation
325.0,,,Fixation
333.0,,,Fixation
342.0,,,Fixation
350.0,,,Fixation
358.0,,,Fixation
367.0,,,Fixation
375.0,,,Fixation
383.0,,,Fixation
392.0,,,Fixation
400.0,,,Fixation
408.0,,,Fixation
417.0,,,Fixation
425.0,,,Fixation
433.0,,,Fixation
442.0,,,Fixation
450.0,,,Fixation
458.0,,,Fixation
467.0,,,Fixation
475.0,,,Fixation
483.0,,,Fixation
492.0,,,Fixation
500.0,,,Fixation
508.0,,,Fixation
517.0,,,Fixation
525.0,,,Fixation
533.0,,,Fixation
542.0,,,Fixation
550.0,,,Fixation
558.0,,,Fixation
567.0,,,Fixation
575.0,,,Saccade
583.0,,,Saccade
592.0,,,Saccade
600.0,,,Saccade
608.0,,,Saccade
617.0,,,Saccade
625.0,,,Saccade
633.0,,,Fixation
642.0,,,Fixation
650.0,,,Fixation
658.0,,,Fixation
667.0,,,Fixation
675.0,,,Fixation
683.0,,,Fixation
692.0,,,Fixation
700.0,,,Fixation
708.0,,,Fixation
717.0,,,Fixation
725.0,,,Fixation
733.0,,,Fixation
742.0,,,Fixation
750.0,,,Fixation
758.0,,,Fixation
767.0,,,Fixation
775.0,,,Fixation
783.0,,,Fixation
792.0,,,Fixation
800.0,,,Fixation
808.0,,,Fixation
817.0,,,Fixation
825.0,,,Fixation
833.0,,,Fixation
842.0,,,Fixation
850.0,,,Saccade
858.0,,,Saccade
867.0,,,Saccade
875.0,,,Saccade
883.0,,,Saccade
892.0,,,Saccade
900.0,,,Fixation
908.0,,,Fixation
917.0,,,Fixation
925.0,,,Fixation
933.0,,,Fixation
942.0,,,Fixation
950.0,,,Fixation
958.0,,,Fixation
967.0,,,Fixation
975.0,,,Fixation
983.0,,,Fixation
992.0,,,Fixation
1000.0,,,Fixation
1008.0,,,Fixation
1017.0,,,Fixation
1025.0,,,Fixation
1033.0,,,Saccade
1042.0,,,Saccade
1050.0,,,Saccade
1058.0,,,Saccade
1067.0,,,Saccade
1075.0,,,Saccade
1083.0,,,Fixation
1092.0,,,Fixation
1100.0,,,Fixation
1108.0,,,Fixation
1117.0,,,Fixation
1125.0,,,Fixation
1133.0,,,Fixation
1142.0,,,Fixation
1150.0,,,Fixation
1158.0,,,Fixation
1167.0,,,Fixation
1175.0,,,Fixation
1183.0,,,Fixation
1192.0,,,Fixation
1200.0,,,Fixation
1208.0,,,Fixation
1217.0,,,Fixation
1225.0,,,Fixation
1233.0,,,Saccade
1242.0,,,Saccade
1250.0,,,Saccade
1258.0,,,Fixation
1267.0,,,Fixation
1275.0,,,Fixation
1283.0,,,Fixation
1292.0,,,Fixation
1300.0,,,Fixation
1308.0,,,Fixation
1317.0,,,Fixation
1325.0,,,Fixation
1333.0,,,Fixation
1342.0,,,Fixation
1350.0,,,Fixation
1358.0,,,Fixation
1367.0,,,Fixation
1375.0,,,Fixation
1383.0,,,Fixation
1392.0,,,Fixation
1400.0,,,Fixation
1408.0,,,Fixation
1417.0,,,Fixation
1425.0,,,Fixation
1433.0,,,Fixation
1442.0,,,Fixation
1450.0,,,Fixation
1458.0,,,Fixation
1467.0,,,Fixation
1475.0,,,Fixation
1483.0,,,Fixation
1492.0,,,Fixation
1500.0,,,Fixation
1508.0,,,Fixation
1517.0,,,Fixation
1525.0,,,Saccade
