Recording timestamp,Event,Event value,Eye movement type
0.0,RecordingStart,,Saccade
5.0,StimulusOnset,P1,Saccade
5.0,validationResult,"CALIBRATION 1 Data Quality (computed from validation 1):||point    acc (°)    accX (°)    accY (°)    STD (°)    RMS (°)    data loss (%)||left eye:||1 @ (384,540)    0.5182    0.1937    0.4436    0.4253    0.4358    0.0||2 @ (960,864)    NaN    NaN    NaN    NaN    NaN    100.0||3 @ (1536,540)    5.4763    3.7837    3.7546    5.8011    8.5124    85.0||4 @ (960,216)    0.4735    0.1671    0.4175    0.3186    0.2650    13.3||   average       2.1560    1.3815    1.5386    2.1817    3.0711    49.6||right eye:||1 @ (384,540)    0.9036    0.2038    0.8632    0.4413    0.4088    0.0||2 @ (960,864)    0.9117    0.4012    0.7939    0.3723    0.3690    0.0||3 @ (1536,540)    1.3200    0.3487    1.2604    0.3719    0.2985    0.0||4 @ (960,216)    0.8046    0.6721    0.3690    0.3755    0.2181    0.0||   average       0.9850    0.4064    0.8216    0.3902    0.3236    0.0",Saccade
14.0,,,Saccade
22.0,,,Saccade
30.0,,,Saccade
39.0,,,Saccade
47.0,,,Fixation
55.0,,,Fixation
64.0,,,Fixation
72.0,,,Fixation
80.0,,,Fixation
89.0,,,Fixation
97.0,,,Fixation
105.0,,,Fixation
114.0,,,Fixation
122.0,,,Saccade
130.0,,,Saccade
139.0,,,Unclassified
147.0,,,Unclassified
155.0,,,Unclassified
164.0,,,Unclassified
172.0,,,Unclassified
180.0,,,Saccade
189.0,,,Saccade
197.0,,,Saccade
205.0,,,Saccade
214.0,,,Saccade
222.0,,,EyesNotFound
230.0,,,Saccade
239.0,,,Saccade
247.0,,,Saccade
255.0,,,Saccade
264.0,,,Saccade
272.0,,,Unclassified
280.0,,,Unclassified
289.0,,,Unclassified
297.0,,,Unclassified
305.0,,,Unclassified
314.0,,,Unclassified
322.0,,,Saccade
330.0,,,Saccade
339.0,,,Saccade
347.0,,,Saccade
355.0,,,Unclassified
364.0,,,Unclassified
372.0,,,Saccade
380.0,,,Saccade
389.0,,,Saccade
397.0,,,Saccade
405.0,,,Saccade
414.0,,,Saccade
422.0,,,Unclassified
430.0,,,Unclassified
439.0,,,Saccade
447.0,,,Saccade
455.0,,,Saccade
464.0,,,Saccade
472.0,,,Fixation
480.0,,,Fixation
489.0,,,Fixation
497.0,,,Fixation
505.0,,,Fixation
514.0,,,Fixation
522.0,,,Fixation
530.0,,,Fixation
539.0,,,Fixation
547.0,,,Fixation
555.0,,,Fixation
564.0,,,Fixation
572.0,,,Fixation
580.0,,,Saccade
589.0,,,Saccade
597.0,,,EyesNotFound
605.0,,,Fixation
614.0,,,Fixation
622.0,,,Fixation
630.0,,,Fixation
639.0,,,Fixation
647.0,,,Fixation
655.0,,,Fixation
664.0,,,Fixation
672.0,,,Fixation
680.0,,,Saccade
689.0,,,Saccade
697.0,,,Unclassified
705.0,,,Saccade
714.0,,,Saccade
722.0,,,Unclassified
730.0,,,Unclassified
739.0,,,Unclassified
747.0,,,EyesNotFound
755.0,,,Fixation
764.0,,,Fixation
772.0,,,Fixation
780.0,,,Fixation
789.0,,,Fixation
797.0,,,Fixation
805.0,,,Fixation
814.0,,,Fixation
822.0,,,Fixation
830.0,,,Fixation
839.0,,,Fixation
847.0,,,Fixation
855.0,,,Fixation
864.0,,,Fixation
872.0,,,Fixation
880.0,,,Fixation
889.0,,,Fixation
897.0,,,Fixation
905.0,,,Fixation
914.0,,,Fixation
922.0,,,Fixation
930.0,,,Fixation
939.0,,,Fixation
947.0,,,Fixation
955.0,,,Fixation
964.0,,,Fixation
972.0,,,Fixation
980.0,,,Saccade
989.0,,,Saccade
997.0,,,Unclassified
1005.0,,,Unclassified
1014.0,,,Unclassified
1022.0,,,Saccade
1030.0,,,Saccade
1039.0,,,Saccade
1047.0,,,EyesNotFound
1055.0,,,Saccade
1064.0,,,Saccade
1072.0,,,Saccade
1080.0,,,Unclassified
1089.0,,,Unclassified
1097.0,,,Saccade
1105.0,,,Saccade
1114.0,,,Saccade
1122.0,,,Saccade
1130.0,,,Saccade
1139.0,,,Fixation
1147.0,,,Fixation
1155.0,,,Fixation
1164.0,,,Fixation
1172.0,,,Fixation
1180.0,,,Fixation
1189.0,,,Fixation
1197.0,,,Fixation
1205.0,,,Fixation
1214.0,,,Fixation
1222.0,,,Fixation
1230.0,,,Fixation
1239.0,,,Fixation
1247.0,,,Fixation
1255.0,,,Fixation
1264.0,,,Fixation
1272.0,,,Fixation
1280.0,,,Fixation
1289.0,,,Fixation
1297.0,,,Fixation
1305.0,,,Fixation
1314.0,,,Fixation
1322.0,,,Fixation
1330.0,,,Fixation
1339.0,,,Fixation
1347.0,,,Fixation
1355.0,,,Saccade
1364.0,,,Saccade
1372.0,,,Unclassified
1380.0,,,Unclassified
1389.0,,,Unclassified
1397.0,,,Unclassified
1405.0,,,Saccade
1414.0,,,Saccade
1422.0,,,Fixation
1430.0,,,Fixation
1439.0,,,Fixation
1447.0,,,Fixation
1455.0,,,Fixation
1464.0,,,Fixation
1472.0,,,Fixation
1480.0,,,Fixation
1489.0,,,Fixation
1497.0,,,Fixation
1505.0,,,Fixation
1514.0,,,Fixation
1522.0,,,Fixation
1530.0,,,Fixation
1539.0,,,Fixation
1547.0,,,Fixation
1555.0,,,Fixation
1564.0,,,Fixation
1572.0,,,Fixation
1580.0,,,Saccade
1589.0,,,Saccade
1597.0,,,Saccade
1605.0,,,Saccade
1614.0,,,Unclassified
1622.0,,,Unclassified
1630.0,,,Unclassified
1639.0,,,Unclassified
1647.0,,,Unclassified
1655.0,,,Unclassified
1664.0,,,Saccade
1672.0,,,Saccade
1680.0,,,Unclassified
1689.0,,,Unclassified
1697.0,,,Unclassified
1705.0,,,EyesNotFound
1714.0,,,Saccade
1722.0,,,Saccade
1730.0,,,Saccade
1739.0,,,EyesNotFound
1747.0,,,EyesNotFound
1755.0,,,Saccade
1764.0,,,Saccade
1772.0,,,Saccade
1780.0,,,Saccade
1789.0,,,Saccade
1797.0,,,Saccade
1805.0,,,Saccade
1814.0,,,Fixation
1822.0,,,Fixation
1830.0,,,Fixation
1839.0,,,Fixation
1847.0,,,Fixation
1855.0,,,Fixation
1864.0,,,Fixation
1872.0,,,Fixation
1880.0,,,Fixation
1889.0,,,Saccade
1897.0,,,Saccade
1905.0,,,Unclassified
1914.0,,,Saccade
1922.0,,,Saccade
1930.0,,,Unclassified
1939.0,,,Unclassified
1947.0,,,Unclassified
1955.0,,,Unclassified
1964.0,,,Unclassified
1972.0,,,Saccade
1980.0,,,Saccade
1989.0,,,Saccade
1997.0,,,Saccade
2005.0,,,Saccade
2014.0,,,Fixation
2022.0,,,Fixation
2030.0,,,Fixation
2039.0,,,Fixation
2047.0,,,Fixation
2055.0,,,Fixation
2064.0,,,Fixation
2072.0,,,Fixation
2080.0,,,Fixation
2089.0,,,Fixation
2097.0,,,Fixation
2105.0,,,Fixation
2114.0,,,Fixation
2122.0,,,Fixation
2130.0,,,Fixation
2139.0,,,Fixation
2147.0,,,Fixation
2155.0,,,Fixation
2164.0,,,Fixation
2172.0,,,Fixation
2180.0,,,Fixation
2189.0,,,Fixation
2197.0,,,Saccade
2205.0,,,Saccade
2214.0,,,Saccade
2222.0,,,Saccade
2230.0,,,Saccade
2239.0,,,Unclassified
2247.0,,,Unclassified
2255.0,,,Saccade
2264.0,,,Saccade
2272.0,,,Unclassified
2280.0,,,Saccade
2289.0,,,Saccade
2297.0,,,Fixation
2305.0,,,Fixation
2314.0,,,Fixation
2322.0,,,Fixation
2330.0,,,Fixation
2339.0,,,Fixation
2347.0,,,Fixation
2355.0,,,Fixation
2364.0,,,Fixation
2372.0,,,Fixation
2380.0,,,Fixation
2389.0,,,Fixation
2397.0,,,Saccade
2405.0,,,Saccade
2414.0,,,Saccade
2422.0,,,Saccade
2430.0,,,Fixation
2439.0,,,Fixation
2447.0,,,Fixation
2455.0,,,Fixation
2464.0,,,Fixation
2472.0,,,Fixation
2480.0,,,Fixation
2489.0,,,Fixation
2497.0,,,Fixation
2505.0,,,Fixation
2514.0,,,Fixation
2522.0,,,Fixation
2530.0,,,Fixation
2539.0,,,Fixation
2547.0,,,Fixation
2555.0,,,Fixation
2564.0,,,Fixation
2572.0,,,Fixation
2580.0,,,Fixation
2589.0,,,Fixation
2597.0,,,Fixation
2605.0,,,Fixation
2614.0,,,Fixation
2622.0,,,Fixation
2630.0,,,Fixation
2639.0,,,Fixation
2647.0,,,Fixation
2655.0,,,Fixation
2664.0,,,Fixation
2672.0,,,Fixation
2680.0,,,Fixation
2689.0,,,Fixation
2697.0,,,Fixation
2705.0,,,Fixation
2714.0,,,Fixation
2722.0,,,Fixation
2730.0,,,Fixation
2739.0,,,Fixation
2747.0,,,Fixation
2755.0,,,Fixation
2764.0,,,Fixation
2772.0,,,Fixation
2780.0,,,Fixation
2789.0,,,Fixation
2797.0,,,Fixation
2805.0,,,Fixation
2814.0,,,Fixation
2822.0,,,Fixation
2830.0,,,Fixation
2839.0,,,Fixation
2847.0,,,Fixation
2855.0,,,Fixation
2864.0,,,Saccade
2872.0,,,Saccade
2880.0,,,Saccade
2889.0,,,Saccade
2897.0,,,Saccade
2905.0,,,Unclassified
2914.0,,,Unclassified
2922.0,,,Unclassified
2930.0,,,Saccade
2939.0,,,Unclassified
2947.0,,,Unclassified
2955.0,,,Unclassified
2964.0,,,Saccade
2972.0,,,Saccade
2980.0,,,Fixation
2989.0,,,Fixation
2997.0,,,Fixation
3005.0,,,Fixation
3014.0,,,Fixation
3022.0,,,Fixation
3030.0,,,Fixation
3039.0,,,Fixation
3047.0,,,Fixation
3055.0,,,Saccade
3064.0,,,Saccade
3072.0,,,Saccade
3080.0,,,Saccade
3089.0,,,Saccade
3097.0,,,Fixation
3105.0,,,Fixation
3114.0,,,Fixation
3122.0,,,Fixation
3130.0,,,Fixation
3139.0,,,Fixation
3147.0,,,Fixation
3155.0,,,Fixation
3164.0,,,Fixation
3172.0,,,Fixation
3180.0,,,Fixation
3189.0,,,Fixation
3197.0,,,Fixation
3205.0,,,Fixation
3214.0,,,Fixation
3222.0,,,Fixation
3230.0,,,Fixation
3239.0,,,Fixation
3247.0,,,Fixation
3255.0,,,Fixation
3264.0,,,Fixation
3272.0,,,Fixation
3280.0,,,Fixation
3289.0,,,Fixation
3297.0,,,Fixation
3305.0,,,Fixation
3314.0,,,Fixation
3322.0,,,Fixation
3330.0,,,Fixation
3339.0,,,Saccade
3347.0,,,Saccade
3355.0,,,Saccade
3364.0,,,Fixation
3372.0,,,Fixation
3380.0,,,Fixation
3389.0,,,Fixation
3397.0,,,Fixation
3405.0,,,Fixation
3414.0,,,Fixation
3422.0,,,Fixation
3430.0,,,Fixation
3439.0,,,Saccade
3447.0,,,Saccade
3455.0,,,Unclassified
3464.0,,,Unclassified
3472.0,,,Unclassified
3480.0,,,Unclassified
3489.0,,,Unclassified
3497.0,,,Saccade
3505.0,,,Saccade
3514.0,,,Fixation
3522.0,,,Fixation
3530.0,,,Fixation
3539.0,,,Fixation
3547.0,,,Fixation
3555.0,,,Fixation
3564.0,,,Fixation
3572.0,,,Fixation
3580.0,,,Fixation
3589.0,,,Fixation
3597.0,,,Fixation
3605.0,,,Fixation
3614.0,,,Fixation
3622.0,,,Saccade
3631.0,,,Saccade
3639.0,,,Saccade
3647.0,,,Saccade
3656.0,,,Saccade
3664.0,,,Saccade
3672.0,,,Saccade
3681.0,,,Saccade
3689.0,,,Fixation
3697.0,,,Fixation
3706.0,,,Fixation
3714.0,,,Fixation
3722.0,,,Fixation
3731.0,,,Fixation
3739.0,,,Fixation
3747.0,,,Fixation
3756.0,,,Fixation
3764.0,,,Fixation
3772.0,,,Fixation
3781.0,,,Fixation
3789.0,,,Saccade
3797.0,,,Saccade
3806.0,,,Unclassified
3814.0,,,Unclassified
3822.0,,,Saccade
3831.0,,,Saccade
3839.0,,,Unclassified
3847.0,,,Unclassified
3856.0,,,Unclassified
3864.0,,,Saccade
3872.0,,,Saccade
3881.0,,,Saccade
3889.0,,,Saccade
3897.0,,,Saccade
3906.0,,,Saccade
3914.0,,,Unclassified
3922.0,,,Unclassified
3931.0,,,Saccade
3939.0,,,Saccade
3947.0,,,Fixation
3956.0,,,Fixation
3964.0,,,Fixation
3972.0,,,Fixation
3981.0,,,Fixation
3989.0,,,Fixation
3997.0,,,Fixation
4006.0,,,Fixation
4014.0,,,Fixation
4022.0,,,Fixation
4031.0,,,Fixation
4039.0,,,Fixation
4047.0,,,Fixation
4056.0,,,Saccade
4064.0,,,Saccade
4072.0,,,Saccade
4081.0,,,Saccade
4089.0,,,Saccade
4097.0,,,Fixation
4106.0,,,Fixation
4114.0,,,Fixation
4122.0,,,Fixation
4131.0,,,Fixation
4139.0,,,Fixation
4147.0,,,Fixation
4156.0,,,Fixation
4164.0,,,Fixation
4172.0,,,Fixation
4181.0,,,Fixation
4189.0,,,Fixation
4197.0,,,Fixation
4206.0,,,Fixation
4214.0,,,Fixation
4222.0,,,Fixation
4231.0,,,Fixation
4239.0,,,Fixation
4247.0,,,Saccade
4256.0,,,Saccade
4264.0,,,Fixation
4272.0,,,Fixation
4281.0,,,Fixation
4289.0,,,Fixation
4297.0,,,Fixation
4306.0,,,Fixation
4314.0,,,Fixation
4322.0,,,Fixation
4331.0,,,Fixation
4339.0,,,Fixation
4347.0,,,Fixation
4356.0,,,Fixation
4364.0,,,Saccade
4372.0,,,Saccade
4381.0,,,Saccade
4389.0,,,Saccade
4397.0,,,Saccade
4406.0,,,Saccade
4414.0,,,Unclassified
4422.0,,,Saccade
4431.0,,,Saccade
4439.0,,,Unclassified
4447.0,,,Unclassified
4456.0,,,Unclassified
4464.0,,,Saccade
4472.0,,,Saccade
4481.0,,,Unclassified
4489.0,,,Unclassified
4497.0,,,Unclassified
4506.0,,,Saccade
4514.0,,,Saccade
4522.0,,,Unclassified
4531.0,,,Unclassified
4539.0,,,Unclassified
4547.0,,,Unclassified
4556.0,,,Unclassified
4564.0,,,Saccade
4572.0,,,Saccade
4581.0,,,Unclassified
4589.0,,,Unclassified
4597.0,,,Saccade
4606.0,,,Saccade
4614.0,,,Unclassified
4622.0,,,Unclassified
4631.0,,,Unclassified
4639.0,,,Unclassified
4647.0,,,Unclassified
4656.0,,,Unclassified
4664.0,,,Unclassified
4672.0,,,Saccade
4681.0,,,Saccade
4689.0,,,Saccade
4697.0,,,Saccade
4706.0,,,Saccade
4714.0,,,Unclassified
4722.0,,,Unclassified
4731.0,,,Unclassified
4739.0,,,Unclassified
4747.0,,,Unclassified
4756.0,,,Saccade
4764.0,,,Saccade
4772.0,,,Fixation
4781.0,,,Fixation
4789.0,,,Fixation
4797.0,,,Fixation
4806.0,,,Fixation
4814.0,,,Fixation
4822.0,,,Fixation
4831.0,,,Fixation
4839.0,,,Fixation
4847.0,,,Fixation
4856.0,,,Fixation
4864.0,,,Fixation
4872.0,,,Fixation
4881.0,,,Fixation
4889.0,,,Fixation
4897.0,,,Fixation
4906.0,,,Fixation
4914.0,,,Fixation
4922.0,,,Fixation
4931.0,,,Fixation
4939.0,,,Fixation
4947.0,,,Fixation
4956.0,,,Fixation
4964.0,,,Fixation
4972.0,,,Fixation
4981.0,,,Fixation
4989.0,,,Fixation
4997.0,,,Fixation
5006.0,,,Fixation
5014.0,,,Fixation
5022.0,,,Fixation
5031.0,,,Fixation
5039.0,,,Saccade
5047.0,,,Saccade
5056.0,,,Saccade
5064.0,,,Saccade
5072.0,,,Saccade
5081.0,,,Saccade
5089.0,,,Fixation
5097.0,,,Fixation
5106.0,,,Fixation
5114.0,,,Fixation
5122.0,,,Fixation
5131.0,,,Fixation
5139.0,,,Fixation
5147.0,,,Fixation
5156.0,,,Fixation
5164.0,,,Fixation
5172.0,,,Fixation
5181.0,,,Fixation
5189.0,,,Fixation
5197.0,,,Fixation
5206.0,,,Fixation
5214.0,,,Fixation
5222.0,,,Fixation
5231.0,,,Saccade
5239.0,,,Saccade
5247.0,,,Unclassified
5256.0,,,Saccade
5264.0,,,Saccade
5272.0,,,Unclassified
5281.0,,,Unclassified
5289.0,,,Unclassified
5297.0,,,Saccade
5306.0,,,Saccade
5314.0,,,Saccade
5322.0,,,Saccade
5331.0,,,Saccade
5339.0,,,Fixation
5347.0,,,Fixation
5356.0,,,Fixation
5364.0,,,Fixation
5372.0,,,Fixation
5381.0,,,Fixation
5389.0,,,Fixation
5397.0,,,Fixation
5406.0,,,Fixation
5414.0,,,Fixation
5422.0,,,Fixation
5431.0,,,Fixation
5439.0,,,Fixation
5447.0,,,Fixation
5456.0,,,Fixation
5464.0,,,Fixation
5472.0,,,Fixation
5481.0,,,Fixation
5489.0,,,Fixation
5497.0,,,Fixation
5506.0,,,Fixation
5514.0,,,Fixation
5522.0,,,Saccade
5531.0,,,Saccade
5539.0,,,Saccade
5547.0,,,Unclassified
5556.0,,,Saccade
5564.0,,,Unclassified
5572.0,,,Saccade
5581.0,,,Saccade
5589.0,,,Unclassified
5597.0,,,Unclassified
5606.0,,,Saccade
5614.0,,,Fixation
5622.0,,,Fixation
5631.0,,,Fixation
5639.0,,,Fixation
5647.0,,,Fixation
5656.0,,,Fixation
5664.0,,,Fixation
5672.0,,,Fixation
5681.0,,,Fixation
5689.0,,,Fixation
5697.0,,,Fixation
5706.0,,,Fixation
5714.0,,,Fixation
5722.0,,,Fixation
5731.0,,,Saccade
5739.0,,,Saccade
5747.0,,,Unclassified
5756.0,,,Unclassified
5764.0,,,Unclassified
5772.0,,,Unclassified
5781.0,,,Unclassified
5789.0,,,Unclassified
5797.0,,,Unclassified
5806.0,,,Saccade
5814.0,,,Saccade
5822.0,,,Saccade
5831.0,,,Saccade
5839.0,,,EyesNotFound
5847.0,,,Unclassified
5856.0,,,EyesNotFound
5864.0,,,Unclassified
5872.0,,,Unclassified
5881.0,,,Saccade
5889.0,,,Saccade
5897.0,,,Saccade
5906.0,,,Saccade
5914.0,,,Unclassified
5922.0,,,Unclassified
5931.0,,,Saccade
5939.0,,,Saccade
5947.0,,,EyesNotFound
5956.0,,,Saccade
5964.0,,,Saccade
5972.0,,,Unclassified
5981.0,,,Unclassified
5989.0,,,Unclassified
5997.0,,,Unclassified
6006.0,,,Unclassified
6014.0,,,Unclassified
6022.0,,,Unclassified
6031.0,,,Saccade
6039.0,,,Saccade
6047.0,,,Unclassified
6056.0,,,Unclassified
6064.0,,,EyesNotFound
6072.0,,,Unclassified
6081.0,,,Unclassified
6089.0,,,Unclassified
6097.0,,,Unclassified
6106.0,,,Unclassified
6114.0,,,Unclassified
6122.0,,,Unclassified
6131.0,,,Saccade
6139.0,,,Saccade
6147.0,,,Unclassified
6156.0,,,Unclassified
6164.0,,,Saccade
6172.0,,,Saccade
6181.0,,,Fixation
6189.0,,,Fixation
6197.0,,,Fixation
6206.0,,,Fixation
6214.0,,,Fixation
6222.0,,,Fixation
6231.0,,,Fixation
6239.0,,,Fixation
6247.0,,,Fixation
6256.0,,,Fixation
6264.0,,,Fixation
6272.0,,,Saccade
6281.0,,,Unclassified
6289.0,,,Saccade
6297.0,,,Saccade
6306.0,,,Unclassified
6314.0,,,Unclassified
6322.0,,,Unclassified
6331.0,,,Unclassified
6339.0,,,Unclassified
6347.0,,,EyesNotFound
6356.0,,,Unclassified
6364.0,,,EyesNotFound
6372.0,,,Saccade
6381.0,,,Saccade
6389.0,,,Saccade
6397.0,,,Saccade
6406.0,,,EyesNotFound
6414.0,,,Saccade
6422.0,,,Saccade
6431.0,,,Saccade
6439.0,,,Saccade
6447.0,,,Saccade
6456.0,,,Saccade
6464.0,,,EyesNotFound
6472.0,,,Saccade
6481.0,,,Saccade
6489.0,,,Saccade
6497.0,,,EyesNotFound
6506.0,,,EyesNotFound
6514.0,,,Unclassified
6522.0,,,EyesNotFound
6531.0,,,Unclassified
6539.0,,,Unclassified
6547.0,,,EyesNotFound
6556.0,,,EyesNotFound
6564.0,,,Saccade
6572.0,,,Saccade
6581.0,,,Unclassified
6589.0,,,Unclassified
6597.0,,,Unclassified
6606.0,,,Unclassified
6614.0,,,Saccade
6622.0,,,Saccade
6631.0,,,EyesNotFound
6639.0,,,EyesNotFound
6647.0,,,Unclassified
6656.0,,,EyesNotFound
6664.0,,,Saccade
6672.0,,,Saccade
6681.0,,,Saccade
6689.0,,,Saccade
6697.0,,,Saccade
6706.0,,,EyesNotFound
6714.0,,,EyesNotFound
6722.0,,,EyesNotFound
6731.0,,,Unclassified
6739.0,,,Unclassified
6747.0,,,EyesNotFound
6756.0,,,Unclassified
6764.0,,,Unclassified
6772.0,,,EyesNotFound
6781.0,,,EyesNotFound
6789.0,,,EyesNotFound
6797.0,,,Saccade
6806.0,,,Saccade
6814.0,,,Saccade
6822.0,,,Saccade
6831.0,,,Saccade
6839.0,,,Saccade
6847.0,,,EyesNotFound
6856.0,,,EyesNotFound
6864.0,,,Unclassified
6872.0,,,EyesNotFound
6881.0,,,Unclassified
6889.0,,,EyesNotFound
6897.0,,,EyesNotFound
6906.0,,,EyesNotFound
6914.0,,,Unclassified
6922.0,,,EyesNotFound
6931.0,,,Unclassified
6939.0,,,Unclassified
6947.0,,,EyesNotFound
6956.0,,,EyesNotFound
6964.0,,,EyesNotFound
6972.0,,,Unclassified
6981.0,,,Unclassified
6989.0,,,Unclassified
6997.0,,,Unclassified
7006.0,,,EyesNotFound
7014.0,,,EyesNotFound
7022.0,,,EyesNotFound
7031.0,,,EyesNotFound
7039.0,,,EyesNotFound
7047.0,,,EyesNotFound
7056.0,,,Unclassified
7064.0,,,EyesNotFound
7072.0,,,EyesNotFound
7081.0,,,Saccade
7089.0,,,Saccade
7097.0,,,Saccade
7106.0,,,EyesNotFound
7114.0,,,EyesNotFound
7122.0,,,Saccade
7131.0,,,Saccade
7139.0,,,Saccade
7147.0,,,Saccade
7156.0,,,Saccade
7164.0,,,Saccade
7172.0,,,Saccade
7181.0,,,Unclassified
7189.0,,,Unclassified
7197.0,,,Unclassified
7206.0,,,Saccade
7214.0,,,Saccade
7222.0,,,Unclassified
7231.0,,,Saccade
7239.0,,,Saccade
7247.0,,,Unclassified
7256.0,,,Unclassified
7264.0,,,Unclassified
7272.0,,,Unclassified
7281.0,,,Unclassified
7289.0,,,Saccade
7297.0,,,Saccade
7306.0,,,Unclassified
7314.0,,,Unclassified
7322.0,,,Unclassified
7331.0,,,Saccade
7339.0,,,Saccade
7347.0,,,Saccade
7356.0,,,Saccade
7364.0,,,Saccade
7372.0,,,Saccade
7381.0,,,Saccade
7389.0,,,Fixation
7397.0,,,Fixation
7406.0,,,Fixation
7414.0,,,Fixation
7422.0,,,Fixation
7431.0,,,Fixation
7439.0,,,Fixation
7447.0,,,Fixation
7456.0,,,Fixation
7464.0,,,Fixation
7472.0,,,Fixation
7481.0,,,Fixation
7489.0,,,Fixation
7497.0,,,Fixation
7506.0,,,Saccade
7514.0,,,Saccade
7522.0,,,Saccade
7531.0,,,Saccade
7539.0,,,Saccade
7547.0,,,Saccade
7556.0,,,Fixation
7564.0,,,Fixation
7572.0,,,Fixation
7581.0,,,Fixation
7589.0,,,Fixation
7597.0,,,Fixation
7606.0,,,Fixation
7614.0,,,Fixation
7622.0,,,Fixation
7631.0,,,Fixation
7639.0,,,Fixation
7647.0,,,Fixation
7656.0,,,Fixation
7664.0,,,Fixation
7672.0,,,Fixation
7681.0,,,Fixation
7689.0,,,Fixation
7697.0,,,Fixation
7706.0,,,Fixation
7714.0,,,Fixation
7722.0,,,Saccade
7731.0,,,Fixation
7739.0,,,Fixation
7747.0,,,Fixation
7756.0,,,Fixation
7764.0,,,Fixation
7772.0,,,Fixation
7781.0,,,Fixation
7789.0,,,Fixation
7797.0,,,Fixation
7806.0,,,Fixation
7814.0,,,Fixation
7822.0,,,Fixation
7831.0,,,Fixation
7839.0,,,Fixation
7847.0,,,Fixation
7856.0,,,Fixation
7864.0,,,Fixation
7872.0,,,Fixation
7881.0,,,Fixation
7889.0,,,Fixation
7897.0,,,Fixation
7906.0,,,Fixation
7914.0,,,Fixation
7922.0,,,Fixation
7931.0,,,Saccade
7939.0,,,Saccade
7947.0,,,Saccade
7956.0,,,Saccade
7964.0,,,Unclassified
7972.0,,,Saccade
7981.0,,,Fixation
7989.0,,,Fixation
7997.0,,,Fixation
8006.0,,,Fixation
8014.0,,,Fixation
8022.0,,,Fixation
8031.0,,,Fixation
